dataset,oversampler,classifier,time_total_sec,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc
credit_default,NoOverSampling,RF,3.3,0.7791,0.5544,0.7023,0.6957,0.7106,0.6972,0.7106
credit_default,NoOverSampling,LGBM,0.73,0.7836,0.56,0.6847,0.759,0.6593,0.5917,0.6593
credit_default,NoOverSampling,MLP,159.46,0.694,0.41,0.6373,0.6474,0.6309,0.5844,0.6309
credit_default,SMOTE,RF,5.11,0.7746,0.5508,0.6984,0.6915,0.7073,0.6939,0.7073
credit_default,SMOTE,LGBM,1.07,0.7731,0.547,0.6991,0.7206,0.6853,0.6486,0.6853
credit_default,SMOTE,MLP,243.05,0.6804,0.394,0.6173,0.6115,0.632,0.6159,0.632
credit_default,ADASYN,RF,5.42,0.771,0.5469,0.6853,0.6745,0.7063,0.6991,0.7063
credit_default,ADASYN,LGBM,1.47,0.7703,0.5439,0.6971,0.7213,0.6823,0.6433,0.6823
credit_default,ADASYN,MLP,220.01,0.676,0.3773,0.6077,0.604,0.6271,0.6136,0.6271
credit_default,G-SMOTE,RF,6.87,0.7673,0.5455,0.6847,0.7546,0.6598,0.5939,0.6598
credit_default,G-SMOTE,LGBM,3.09,0.7835,0.5565,0.6819,0.7589,0.6565,0.5866,0.6565
credit_default,G-SMOTE,MLP,245.02,0.6957,0.3997,0.6293,0.6339,0.629,0.5911,0.629
fraud_detection,NoOverSampling,RF,89.45,0.9801,0.8341,0.918,0.9293,0.9074,0.9025,0.9074
fraud_detection,NoOverSampling,LGBM,3.31,0.8591,0.5147,0.7828,0.7364,0.86,0.8487,0.86
fraud_detection,NoOverSampling,MLP,181.38,0.9605,0.8317,0.9191,0.9466,0.8952,0.889,0.8952
fraud_detection,SMOTE,RF,211.25,0.9844,0.8224,0.8155,0.7508,0.9271,0.9242,0.9271
fraud_detection,SMOTE,LGBM,6.19,0.9797,0.7608,0.715,0.643,0.9391,0.9373,0.9391
fraud_detection,SMOTE,MLP,369.94,0.9611,0.8281,0.8991,0.8878,0.9134,0.9092,0.9134
fraud_detection,ADASYN,RF,181.31,0.9816,0.7676,0.5973,0.5568,0.9339,0.9323,0.9339
