dataset,oversampler,classifier,auc_mean,auc_std,time_mean_sec,time_total_sec
pima_diabetes,None,RF,0.8294465408805032,0.023027498841218488,0.22150139808654784,1.1075069904327393
pima_diabetes,None,LGBM,0.802314465408805,0.026687601255905396,0.05619993209838867,0.28099966049194336
pima_diabetes,None,MLP,0.6797274633123689,0.024183820485474173,0.10971384048461914,0.5485692024230957
pima_diabetes,SMOTE,RF,0.8289517819706498,0.025124966010511948,0.22200946807861327,1.1100473403930664
pima_diabetes,SMOTE,LGBM,0.8063228511530397,0.03329244317672004,0.06299958229064942,0.31499791145324707
pima_diabetes,SMOTE,MLP,0.738508036338225,0.03327296371711124,0.1783998966217041,0.8919994831085205
pima_diabetes,ADASYN,RF,0.8153766596785464,0.033521066568709075,0.22840018272399903,1.1420009136199951
pima_diabetes,ADASYN,LGBM,0.8017295597484276,0.03062838298745432,0.0712003231048584,0.356001615524292
pima_diabetes,ADASYN,MLP,0.7374444444444445,0.03569503973324674,0.26220002174377444,1.311000108718872
pima_diabetes,G-SMOTE,RF,0.8273787561146053,0.01955380667430338,0.22580914497375487,1.1290457248687744
pima_diabetes,G-SMOTE,LGBM,0.8023577917540182,0.03262097482197218,0.07959995269775391,0.39799976348876953
pima_diabetes,G-SMOTE,MLP,0.7198763102725367,0.028083132781557812,0.2016000270843506,1.008000135421753
ecoli,None,RF,0.9280444964871195,0.05213014864404203,0.2049027919769287,1.0245139598846436
ecoli,None,LGBM,0.9529742388758782,0.028714108619660207,0.0459998607635498,0.22999930381774902
ecoli,None,MLP,0.945800156128025,0.048667991690763086,0.41863288879394533,2.0931644439697266
ecoli,SMOTE,RF,0.9412919594067135,0.03373605732939517,0.21190190315246582,1.059509515762329
ecoli,SMOTE,LGBM,0.9544418423106948,0.01750806125389932,0.05279998779296875,0.26399993896484375
ecoli,SMOTE,MLP,0.9524277907884466,0.03529534985423437,0.7506001472473145,3.7530007362365723
ecoli,ADASYN,RF,0.9320999219359877,0.02809695701264369,0.20230140686035156,1.0115070343017578
ecoli,ADASYN,LGBM,0.9478298204527713,0.019912806034421353,0.050600194931030275,0.25300097465515137
ecoli,ADASYN,MLP,0.9424434035909446,0.049659417588019075,0.737800121307373,3.6890006065368652
ecoli,G-SMOTE,RF,0.94391881342701,0.0355974071100089,0.20659999847412108,1.0329999923706055
ecoli,G-SMOTE,LGBM,0.9454254488680718,0.025001971632732708,0.0607999324798584,0.303999662399292
ecoli,G-SMOTE,MLP,0.9481186572989853,0.03707948065734103,0.7319999217987061,3.6599996089935303
ibm_attrition,None,RF,0.8021680348113241,0.02451205821260965,0.22260355949401855,1.1130177974700928
ibm_attrition,None,LGBM,0.8062642370383133,0.018764556030755122,0.10040006637573243,0.5020003318786621
ibm_attrition,None,MLP,0.6195949721632198,0.01373587368148911,0.14020018577575682,0.7010009288787842
ibm_attrition,SMOTE,RF,0.8134634220459269,0.022658397206385756,0.24450173377990722,1.2225086688995361
ibm_attrition,SMOTE,LGBM,0.796741981153768,0.02409239795455524,0.13400020599365234,0.6700010299682617
ibm_attrition,SMOTE,MLP,0.5927331197573326,0.06668862156510645,0.22999982833862304,1.1499991416931152
ibm_attrition,ADASYN,RF,0.81281911216907,0.018326549124473776,0.25310206413269043,1.2655103206634521
ibm_attrition,ADASYN,LGBM,0.794685848179655,0.015029723348302647,0.12759990692138673,0.6379995346069336
ibm_attrition,ADASYN,MLP,0.5855065687926455,0.047514526514059054,0.2664005756378174,1.332002878189087
ibm_attrition,G-SMOTE,RF,0.8022319132711958,0.022858969446846716,0.29579939842224123,1.478996992111206
ibm_attrition,G-SMOTE,LGBM,0.8020075580902677,0.0228361753749868,0.15,0.75
ibm_attrition,G-SMOTE,MLP,0.580680550565735,0.05050392913373261,0.3098000526428223,1.5490002632141113
