dataset,oversampling,classifier,n_resampled,minority_ratio,oversample_time,train_time,AUC,F1,Precision,Recall
credit_default,None,RF,21000,0.2212,0.0,0.54,0.7757,0.7023,0.6968,0.7088
credit_default,None,LGBM,21000,0.2212,0.0,0.11,0.7787,0.6858,0.6744,0.7095
credit_default,None,MLP,21000,0.2212,0.0,50.68,0.6961,0.6267,0.6689,0.6128
credit_default,SMOTE,RF,32710,0.5,0.19,0.9,0.7733,0.693,0.6871,0.7003
credit_default,SMOTE,LGBM,32710,0.5,0.19,0.15,0.7719,0.6937,0.7121,0.6814
credit_default,SMOTE,MLP,32710,0.5,0.19,77.44,0.6901,0.6293,0.6247,0.6359
credit_default,ADASYN,RF,32349,0.4944,0.27,0.96,0.7684,0.6861,0.6761,0.7028
credit_default,ADASYN,LGBM,32349,0.4944,0.27,0.19,0.768,0.6928,0.7116,0.6805
credit_default,ADASYN,MLP,32349,0.4944,0.27,82.55,0.6788,0.6121,0.608,0.6183
credit_default,G-SMOTE,RF,163550,0.9,4.62,5.98,0.7517,0.6792,0.6802,0.6783
credit_default,G-SMOTE,LGBM,163550,0.9,4.62,0.44,0.7305,0.6334,0.7257,0.6148
credit_default,G-SMOTE,MLP,163550,0.9,4.62,357.7,0.6876,0.6109,0.6066,0.636
credit_default,CTGAN,RF,32710,0.5,37.92,0.84,0.7658,0.6767,0.7451,0.6531
credit_default,CTGAN,LGBM,32710,0.5,37.92,0.15,0.7798,0.6793,0.7522,0.6547
credit_default,CTGAN,MLP,32710,0.5,37.92,85.35,0.7096,0.6428,0.6396,0.6466
credit_default,TVAE,RF,32710,0.5,19.72,1.04,0.7645,0.6794,0.7469,0.6555
credit_default,TVAE,LGBM,32710,0.5,19.72,0.15,0.782,0.6764,0.7515,0.6519
credit_default,TVAE,MLP,32710,0.5,19.72,92.48,0.7002,0.6296,0.6332,0.6265
credit_default,G-CTGAN,RF,32709,0.5,54.38,0.93,0.7613,0.6779,0.7444,0.6544
credit_default,G-CTGAN,LGBM,32709,0.5,54.38,0.15,0.7804,0.679,0.752,0.6545
credit_default,G-CTGAN,MLP,32709,0.5,54.38,75.35,0.7117,0.6504,0.6489,0.6521
fraud_detection,None,RF,199364,0.0017,0.01,14.76,0.9666,0.8949,0.9092,0.8816
fraud_detection,None,LGBM,199364,0.0017,0.01,0.61,0.9597,0.8234,0.7625,0.9216
fraud_detection,None,MLP,199364,0.0017,0.01,142.29,0.952,0.9036,0.957,0.8614
fraud_detection,SMOTE,RF,398040,0.5,0.15,34.64,0.9763,0.8321,0.7799,0.9082
fraud_detection,SMOTE,LGBM,398040,0.5,0.15,0.97,0.9715,0.7339,0.6615,0.9275
fraud_detection,SMOTE,MLP,398040,0.5,0.15,480.92,0.9489,0.8849,0.8849,0.8849
fraud_detection,ADASYN,RF,398055,0.5,0.21,32.52,0.9753,0.6166,0.569,0.9211
fraud_detection,ADASYN,LGBM,398055,0.5,0.21,1.04,0.97,0.6433,0.5872,0.9255
fraud_detection,ADASYN,MLP,398055,0.5,0.21,600.83,0.9369,0.902,0.9246,0.8816
fraud_detection,G-SMOTE,RF,1194120,0.8333,1.53,110.7,0.9756,0.8713,0.8427,0.9051
fraud_detection,G-SMOTE,LGBM,1194120,0.8333,1.53,2.2,0.9693,0.7797,0.7096,0.9213
fraud_detection,G-SMOTE,MLP,1194120,0.8333,1.53,923.24,0.9384,0.8651,0.8474,0.8848
fraud_detection,CTGAN,RF,398040,0.5,9.03,34.14,0.962,0.8924,0.8898,0.8951
fraud_detection,CTGAN,LGBM,398040,0.5,9.03,0.69,0.9542,0.8854,0.8732,0.8984
fraud_detection,CTGAN,MLP,398040,0.5,9.03,95.94,0.9657,0.8964,0.9047,0.8884
fraud_detection,TVAE,RF,398040,0.5,6.51,35.87,0.9607,0.8921,0.8741,0.9119
fraud_detection,TVAE,LGBM,398040,0.5,6.51,0.68,0.942,0.8697,0.8449,0.8983
fraud_detection,TVAE,MLP,398040,0.5,6.51,180.72,0.956,0.8992,0.8965,0.9018
fraud_detection,G-CTGAN,RF,398040,0.5,26.91,33.31,0.9529,0.8856,0.8679,0.9052
fraud_detection,G-CTGAN,LGBM,398040,0.5,26.91,0.77,0.9309,0.8606,0.8294,0.8983
fraud_detection,G-CTGAN,MLP,398040,0.5,26.91,240.49,0.9643,0.8946,0.9447,0.8547
pima_diabetes,None,RF,537,0.3482,0.0,0.21,0.8394,0.7057,0.7093,0.703
pima_diabetes,None,LGBM,537,0.3482,0.0,0.05,0.8172,0.7148,0.7148,0.7148
pima_diabetes,None,MLP,537,0.3482,0.0,1.16,0.7858,0.7019,0.7094,0.6973
pima_diabetes,SMOTE,RF,700,0.5,0.0,0.22,0.8426,0.7301,0.7266,0.7357
pima_diabetes,SMOTE,LGBM,700,0.5,0.0,0.06,0.8133,0.7188,0.7194,0.7181
pima_diabetes,SMOTE,MLP,700,0.5,0.0,1.55,0.7811,0.7092,0.7099,0.7086
pima_diabetes,ADASYN,RF,693,0.4949,0.0,0.21,0.8442,0.7499,0.7456,0.7575
pima_diabetes,ADASYN,LGBM,693,0.4949,0.0,0.06,0.8228,0.7164,0.7153,0.7177
pima_diabetes,ADASYN,MLP,693,0.4949,0.0,1.53,0.7945,0.7148,0.7148,0.7148
pima_diabetes,G-SMOTE,RF,1750,0.8,0.58,0.26,0.8355,0.7561,0.753,0.7746
pima_diabetes,G-SMOTE,LGBM,1750,0.8,0.58,0.08,0.8281,0.7157,0.7247,0.7101
pima_diabetes,G-SMOTE,MLP,1750,0.8,0.58,3.7,0.7816,0.7085,0.7066,0.711
pima_diabetes,CTGAN,RF,700,0.5,2.0,0.21,0.8014,0.6942,0.6993,0.6906
pima_diabetes,CTGAN,LGBM,700,0.5,2.0,0.06,0.8007,0.694,0.7046,0.6883
pima_diabetes,CTGAN,MLP,700,0.5,2.0,1.56,0.7467,0.6883,0.6902,0.6868
pima_diabetes,TVAE,RF,700,0.5,1.25,0.21,0.8384,0.7488,0.7481,0.7495
pima_diabetes,TVAE,LGBM,700,0.5,1.25,0.06,0.8244,0.7157,0.7247,0.7101
pima_diabetes,TVAE,MLP,700,0.5,1.25,1.53,0.7817,0.6806,0.6846,0.6778
pima_diabetes,G-CTGAN,RF,700,0.5,8.16,0.28,0.8177,0.7267,0.7289,0.7248
pima_diabetes,G-CTGAN,LGBM,700,0.5,8.16,0.13,0.816,0.7363,0.7386,0.7343
pima_diabetes,G-CTGAN,MLP,700,0.5,8.16,2.02,0.7604,0.6845,0.6856,0.6835
ibm_attrition,None,RF,1029,0.1613,0.0,0.26,0.7796,0.5695,0.6282,0.5602
ibm_attrition,None,LGBM,1029,0.1613,0.0,0.17,0.7347,0.6575,0.6861,0.6409
ibm_attrition,None,MLP,1029,0.1613,0.0,1.53,0.7471,0.6817,0.7194,0.6604
ibm_attrition,SMOTE,RF,1726,0.5,0.01,0.31,0.7797,0.6118,0.6694,0.594
ibm_attrition,SMOTE,LGBM,1726,0.5,0.01,0.24,0.7659,0.6703,0.7431,0.6417
ibm_attrition,SMOTE,MLP,1726,0.5,0.01,1.56,0.7414,0.6615,0.6729,0.6526
ibm_attrition,ADASYN,RF,1751,0.5071,0.03,0.3,0.7888,0.6331,0.6997,0.6108
ibm_attrition,ADASYN,LGBM,1751,0.5071,0.03,0.24,0.764,0.6437,0.7148,0.6192
ibm_attrition,ADASYN,MLP,1751,0.5071,0.03,1.54,0.7454,0.6777,0.6952,0.665
ibm_attrition,G-SMOTE,RF,7767,0.8889,0.89,0.41,0.7888,0.6302,0.7382,0.6049
ibm_attrition,G-SMOTE,LGBM,7767,0.8889,0.89,0.32,0.7657,0.5917,0.7459,0.575
ibm_attrition,G-SMOTE,MLP,7767,0.8889,0.89,3.2,0.7438,0.6834,0.6845,0.6824
ibm_attrition,CTGAN,RF,1726,0.5,8.15,0.3,0.7729,0.5528,0.6514,0.5485
ibm_attrition,CTGAN,LGBM,1726,0.5,8.15,0.18,0.7567,0.612,0.721,0.5908
ibm_attrition,CTGAN,MLP,1726,0.5,8.15,1.82,0.7117,0.668,0.6785,0.6596
ibm_attrition,TVAE,RF,1726,0.5,14.38,0.81,0.7694,0.5689,0.7057,0.5596
ibm_attrition,TVAE,LGBM,1726,0.5,14.38,0.21,0.7531,0.6212,0.7299,0.5978
ibm_attrition,TVAE,MLP,1726,0.5,14.38,1.78,0.7399,0.6861,0.7194,0.6661
ibm_attrition,G-CTGAN,RF,1726,0.5,43.07,0.29,0.7772,0.5526,0.7341,0.5496
ibm_attrition,G-CTGAN,LGBM,1726,0.5,43.07,0.14,0.7685,0.6212,0.7299,0.5978
ibm_attrition,G-CTGAN,MLP,1726,0.5,43.07,1.9,0.6868,0.6481,0.6614,0.6385
yeast_me2,None,RF,1038,0.0347,0.0,0.29,0.9111,0.6146,0.6529,0.593
yeast_me2,None,LGBM,1038,0.0347,0.0,0.13,0.8818,0.6637,0.6474,0.6849
yeast_me2,None,MLP,1038,0.0347,0.0,3.2,0.8128,0.599,0.6112,0.5896
yeast_me2,SMOTE,RF,2004,0.5,0.0,0.29,0.9027,0.5904,0.5713,0.6377
yeast_me2,SMOTE,LGBM,2004,0.5,0.0,0.15,0.9191,0.6074,0.5881,0.6435
yeast_me2,SMOTE,MLP,2004,0.5,0.0,4.08,0.8192,0.5985,0.5871,0.6148
yeast_me2,ADASYN,RF,2005,0.5002,0.0,0.29,0.8919,0.5974,0.5748,0.6664
yeast_me2,ADASYN,LGBM,2005,0.5002,0.0,0.18,0.9036,0.6074,0.5881,0.6435
yeast_me2,ADASYN,MLP,2005,0.5002,0.0,4.63,0.8074,0.6336,0.6093,0.678
yeast_me2,G-SMOTE,RF,2005,0.5002,0.38,0.31,0.9058,0.6213,0.5964,0.6745
