dataset,alpha_mode,mmd_before,mmd_after,improved
credit_default,Q-G-CTGAN_a0.1_MMDon,0.009689,0.01553,False
credit_default,Q-G-CTGAN_a0.1_MMDoff,0.009689,0.027286,False
credit_default,Q-G-CTGAN_a0.2_MMDon,0.009689,0.012662,False
credit_default,Q-G-CTGAN_a0.2_MMDoff,0.009689,0.029103,False
credit_default,Q-G-CTGAN_a0.3_MMDon,0.009689,0.009877,False
credit_default,Q-G-CTGAN_a0.3_MMDoff,0.009689,0.02374,False
credit_default,Q-G-CTGAN_adaptive_MMDon,0.009689,0.014326,False
credit_default,Q-G-CTGAN_adaptive_MMDoff,0.009689,0.029856,False
fraud_detection,Q-G-CTGAN_a0.1_MMDon,0.059819,0.058961,True
fraud_detection,Q-G-CTGAN_a0.1_MMDoff,0.059819,0.058961,True
fraud_detection,Q-G-CTGAN_a0.2_MMDon,0.059819,0.057539,True
fraud_detection,Q-G-CTGAN_a0.2_MMDoff,0.059819,0.057539,True
fraud_detection,Q-G-CTGAN_a0.3_MMDon,0.059819,0.058092,True
fraud_detection,Q-G-CTGAN_a0.3_MMDoff,0.059819,0.058092,True
fraud_detection,Q-G-CTGAN_adaptive_MMDon,0.059819,0.057483,True
fraud_detection,Q-G-CTGAN_adaptive_MMDoff,0.059819,0.057483,True
pima_diabetes,Q-G-CTGAN_a0.1_MMDon,0.045863,0.022437,True
pima_diabetes,Q-G-CTGAN_a0.1_MMDoff,0.045863,0.199471,False
pima_diabetes,Q-G-CTGAN_a0.2_MMDon,0.045863,0.023272,True
pima_diabetes,Q-G-CTGAN_a0.2_MMDoff,0.045863,0.207781,False
pima_diabetes,Q-G-CTGAN_a0.3_MMDon,0.045863,0.023511,True
pima_diabetes,Q-G-CTGAN_a0.3_MMDoff,0.045863,0.213471,False
pima_diabetes,Q-G-CTGAN_adaptive_MMDon,0.045863,0.020876,True
pima_diabetes,Q-G-CTGAN_adaptive_MMDoff,0.045863,0.199471,False
ibm_attrition,Q-G-CTGAN_a0.1_MMDon,0.02061,0.018266,True
ibm_attrition,Q-G-CTGAN_a0.1_MMDoff,0.02061,0.033931,False
ibm_attrition,Q-G-CTGAN_a0.2_MMDon,0.02061,0.018928,True
ibm_attrition,Q-G-CTGAN_a0.2_MMDoff,0.02061,0.023992,False
ibm_attrition,Q-G-CTGAN_a0.3_MMDon,0.02061,0.019864,True
ibm_attrition,Q-G-CTGAN_a0.3_MMDoff,0.02061,0.020046,True
ibm_attrition,Q-G-CTGAN_adaptive_MMDon,0.02061,0.018485,True
ibm_attrition,Q-G-CTGAN_adaptive_MMDoff,0.02061,0.019422,True
yeast_me2,Q-G-CTGAN_a0.1_MMDon,0.10775,0.083211,True
yeast_me2,Q-G-CTGAN_a0.1_MMDoff,0.10775,0.147545,False
yeast_me2,Q-G-CTGAN_a0.2_MMDon,0.10775,0.09154,True
yeast_me2,Q-G-CTGAN_a0.2_MMDoff,0.10775,0.142087,False
yeast_me2,Q-G-CTGAN_a0.3_MMDon,0.10775,0.105175,True
yeast_me2,Q-G-CTGAN_a0.3_MMDoff,0.10775,0.112988,False
yeast_me2,Q-G-CTGAN_adaptive_MMDon,0.10775,0.095812,True
yeast_me2,Q-G-CTGAN_adaptive_MMDoff,0.10775,0.112633,False
mammography,Q-G-CTGAN_a0.1_MMDon,0.007835,0.010505,False
mammography,Q-G-CTGAN_a0.1_MMDoff,0.007835,0.007061,True
mammography,Q-G-CTGAN_a0.2_MMDon,0.007835,0.005665,True
mammography,Q-G-CTGAN_a0.2_MMDoff,0.007835,0.005665,True
mammography,Q-G-CTGAN_a0.3_MMDon,0.007835,0.004557,True
mammography,Q-G-CTGAN_a0.3_MMDoff,0.007835,0.004557,True
mammography,Q-G-CTGAN_adaptive_MMDon,0.007835,0.005653,True
mammography,Q-G-CTGAN_adaptive_MMDoff,0.007835,0.005653,True
abalone_19,Q-G-CTGAN_a0.1_MMDon,0.010028,0.009392,True
abalone_19,Q-G-CTGAN_a0.1_MMDoff,0.010028,0.009392,True
abalone_19,Q-G-CTGAN_a0.2_MMDon,0.010028,0.009397,True
abalone_19,Q-G-CTGAN_a0.2_MMDoff,0.010028,0.009397,True
abalone_19,Q-G-CTGAN_a0.3_MMDon,0.010028,0.008936,True
abalone_19,Q-G-CTGAN_a0.3_MMDoff,0.010028,0.008936,True
abalone_19,Q-G-CTGAN_adaptive_MMDon,0.010028,0.008995,True
abalone_19,Q-G-CTGAN_adaptive_MMDoff,0.010028,0.008995,True
wine_quality,Q-G-CTGAN_a0.1_MMDon,0.151807,0.129974,True
wine_quality,Q-G-CTGAN_a0.1_MMDoff,0.151807,0.146058,True
wine_quality,Q-G-CTGAN_a0.2_MMDon,0.151807,0.146172,True
wine_quality,Q-G-CTGAN_a0.2_MMDoff,0.151807,0.160415,False
wine_quality,Q-G-CTGAN_a0.3_MMDon,0.151807,0.168416,False
wine_quality,Q-G-CTGAN_a0.3_MMDoff,0.151807,0.171201,False
wine_quality,Q-G-CTGAN_adaptive_MMDon,0.151807,0.142345,True
wine_quality,Q-G-CTGAN_adaptive_MMDoff,0.151807,0.158669,False
ecoli,Q-G-CTGAN_a0.1_MMDon,0.051748,0.020272,True
ecoli,Q-G-CTGAN_a0.1_MMDoff,0.051748,0.03207,True
ecoli,Q-G-CTGAN_a0.2_MMDon,0.051748,0.024603,True
ecoli,Q-G-CTGAN_a0.2_MMDoff,0.051748,0.034084,True
ecoli,Q-G-CTGAN_a0.3_MMDon,0.051748,0.037199,True
ecoli,Q-G-CTGAN_a0.3_MMDoff,0.051748,0.037059,True
ecoli,Q-G-CTGAN_adaptive_MMDon,0.051748,0.025851,True
ecoli,Q-G-CTGAN_adaptive_MMDoff,0.051748,0.041811,True
pageblocks,Q-G-CTGAN_a0.1_MMDon,0.005677,0.005554,True
pageblocks,Q-G-CTGAN_a0.1_MMDoff,0.005677,0.005554,True
pageblocks,Q-G-CTGAN_a0.2_MMDon,0.005677,0.005777,False
pageblocks,Q-G-CTGAN_a0.2_MMDoff,0.005677,0.005777,False
pageblocks,Q-G-CTGAN_a0.3_MMDon,0.005677,0.006069,False
pageblocks,Q-G-CTGAN_a0.3_MMDoff,0.005677,0.006069,False
pageblocks,Q-G-CTGAN_adaptive_MMDon,0.005677,0.006534,False
pageblocks,Q-G-CTGAN_adaptive_MMDoff,0.005677,0.006534,False
protein_homo,Q-G-CTGAN_a0.1_MMDon,0.09745,0.094801,True
protein_homo,Q-G-CTGAN_a0.1_MMDoff,0.09745,0.094801,True
protein_homo,Q-G-CTGAN_a0.2_MMDon,0.09745,0.093015,True
protein_homo,Q-G-CTGAN_a0.2_MMDoff,0.09745,0.093015,True
protein_homo,Q-G-CTGAN_a0.3_MMDon,0.09745,0.089586,True
protein_homo,Q-G-CTGAN_a0.3_MMDoff,0.09745,0.089586,True
protein_homo,Q-G-CTGAN_adaptive_MMDon,0.09745,0.093872,True
protein_homo,Q-G-CTGAN_adaptive_MMDoff,0.09745,0.093872,True
satellite,Q-G-CTGAN_a0.1_MMDon,0.146623,0.147238,False
satellite,Q-G-CTGAN_a0.1_MMDoff,0.146623,0.21255,False
satellite,Q-G-CTGAN_a0.2_MMDon,0.146623,0.150775,False
satellite,Q-G-CTGAN_a0.2_MMDoff,0.146623,0.196727,False
satellite,Q-G-CTGAN_a0.3_MMDon,0.146623,0.153785,False
satellite,Q-G-CTGAN_a0.3_MMDoff,0.146623,0.160908,False
satellite,Q-G-CTGAN_adaptive_MMDon,0.146623,0.14798,False
satellite,Q-G-CTGAN_adaptive_MMDoff,0.146623,0.21255,False
churn,Q-G-CTGAN_a0.1_MMDon,0.079542,0.062323,True
churn,Q-G-CTGAN_a0.1_MMDoff,0.079542,0.125251,False
churn,Q-G-CTGAN_a0.2_MMDon,0.079542,0.06926,True
churn,Q-G-CTGAN_a0.2_MMDoff,0.079542,0.107306,False
churn,Q-G-CTGAN_a0.3_MMDon,0.079542,0.079089,True
churn,Q-G-CTGAN_a0.3_MMDoff,0.079542,0.092793,False
churn,Q-G-CTGAN_adaptive_MMDon,0.079542,0.074687,True
churn,Q-G-CTGAN_adaptive_MMDoff,0.079542,0.099234,False
secom,Q-G-CTGAN_a0.1_MMDon,0.075745,0.076206,False
secom,Q-G-CTGAN_a0.1_MMDoff,0.075745,0.071087,True
secom,Q-G-CTGAN_a0.2_MMDon,0.075745,0.078532,False
secom,Q-G-CTGAN_a0.2_MMDoff,0.075745,0.073217,True
secom,Q-G-CTGAN_a0.3_MMDon,0.075745,0.078653,False
secom,Q-G-CTGAN_a0.3_MMDoff,0.075745,0.077898,False
secom,Q-G-CTGAN_adaptive_MMDon,0.075745,0.073848,True
secom,Q-G-CTGAN_adaptive_MMDoff,0.075745,0.071228,True
thyroid_sick,Q-G-CTGAN_a0.1_MMDon,0.069092,0.117644,False
thyroid_sick,Q-G-CTGAN_a0.1_MMDoff,0.069092,0.0766,False
thyroid_sick,Q-G-CTGAN_a0.2_MMDon,0.069092,0.108842,False
thyroid_sick,Q-G-CTGAN_a0.2_MMDoff,0.069092,0.083205,False
thyroid_sick,Q-G-CTGAN_a0.3_MMDon,0.069092,0.100854,False
thyroid_sick,Q-G-CTGAN_a0.3_MMDoff,0.069092,0.090158,False
thyroid_sick,Q-G-CTGAN_adaptive_MMDon,0.069092,0.100854,False
