dataset,oversampling,classifier,alpha_mode,alpha_value,mmd_stage,best_k,n_candidates,candidate_multiplier_used,multiplier_capped,n_syn_target,n_synthetic,minority_ratio,target_gap,mmd_before,mmd_after,gmm_time,ctgan_train_time,generation_time,stage1_time,stage2_time,filter_time,train_time,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc
credit_default,Q-G-CTGAN_a0.1_MMDon,RF,fixed,0.1,True,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.01553,5.249,68.987,2.028,0.438,28.188,28.63,0.66,0.7635,0.5425,0.6797,0.7441,0.6563,0.5904,0.6563
credit_default,Q-G-CTGAN_a0.1_MMDon,LGBM,fixed,0.1,True,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.01553,5.249,68.987,2.028,0.438,28.188,28.63,0.14,0.7793,0.5472,0.6765,0.7518,0.652,0.5802,0.652
credit_default,Q-G-CTGAN_a0.1_MMDon,MLP,fixed,0.1,True,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.01553,5.249,68.987,2.028,0.438,28.188,28.63,41.05,0.7027,0.4044,0.639,0.6394,0.6385,0.6052,0.6385
credit_default,Q-G-CTGAN_a0.1_MMDoff,RF,fixed,0.1,False,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.027286,5.249,68.987,2.028,0.413,0.001,0.41,0.67,0.7627,0.5434,0.6775,0.7476,0.6535,0.5842,0.6535
credit_default,Q-G-CTGAN_a0.1_MMDoff,LGBM,fixed,0.1,False,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.027286,5.249,68.987,2.028,0.413,0.001,0.41,0.15,0.7787,0.5474,0.676,0.7533,0.6513,0.5785,0.6513
credit_default,Q-G-CTGAN_a0.1_MMDoff,MLP,fixed,0.1,False,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.027286,5.249,68.987,2.028,0.413,0.001,0.41,41.98,0.6888,0.3815,0.6116,0.6327,0.6024,0.5308,0.6024
credit_default,Q-G-CTGAN_a0.2_MMDon,RF,fixed,0.2,True,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.012662,5.249,68.987,2.028,0.424,22.093,22.52,0.7,0.7634,0.5447,0.68,0.7458,0.6563,0.5899,0.6563
credit_default,Q-G-CTGAN_a0.2_MMDon,LGBM,fixed,0.2,True,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.012662,5.249,68.987,2.028,0.424,22.093,22.52,0.15,0.7802,0.5484,0.6766,0.7493,0.6524,0.5818,0.6524
credit_default,Q-G-CTGAN_a0.2_MMDon,MLP,fixed,0.2,True,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.012662,5.249,68.987,2.028,0.424,22.093,22.52,45.0,0.6754,0.3704,0.6053,0.626,0.5967,0.5219,0.5967
credit_default,Q-G-CTGAN_a0.2_MMDoff,RF,fixed,0.2,False,9,23225,5.0,False,11710,11710,0.5,0.0,0.009689,0.029103,5.249,68.987,2.028,0.439,0.001,0.44,0.67,0.7626,0.5443,0.6777,0.7483,0.6536,0.5843,0.6536
