dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,G-CTGAN,Q-G-CTGAN_adaptive
credit_default,0.7719,0.768,0.7305,0.7798,0.782,0.7804,0.7795
fraud_detection,0.9715,0.97,0.9693,0.9542,0.942,0.9309,0.9672
pima_diabetes,0.8133,0.8228,0.8281,0.8007,0.8244,0.816,0.8267
ibm_attrition,0.7659,0.764,0.7657,0.7567,0.7531,0.7685,0.7633
yeast_me2,0.9191,0.9036,0.9109,0.8899,0.8937,0.9009,0.9094
mammography,0.9773,0.9593,0.9581,0.9517,0.9599,0.9552,0.9701
abalone_19,0.8246,0.8064,0.8899,0.8311,0.8621,0.7932,0.8622
wine_quality,0.8644,0.8548,0.8524,0.8541,0.8132,0.8324,0.8754
ecoli,0.9283,0.9515,0.9485,0.9576,0.9677,0.9545,0.9444
pageblocks,0.9961,0.9964,0.9964,0.9971,0.9967,0.9997,0.9979
protein_homo,0.996,0.996,0.9957,0.9937,0.9891,0.99,0.9963
