dataset,oversampling,classifier,minority_ratio,train_time,AUC,F1,Precision,Recall
credit_default,,RF,0.2212,0.54,0.7757,0.7023,0.6968,0.7088
credit_default,,LGBM,0.2212,0.11,0.7787,0.6858,0.6744,0.7095
credit_default,,MLP,0.2212,50.68,0.6961,0.6267,0.6689,0.6128
credit_default,SMOTE,RF,0.5,0.9,0.7733,0.693,0.6871,0.7003
credit_default,SMOTE,LGBM,0.5,0.15,0.7719,0.6937,0.7121,0.6814
credit_default,SMOTE,MLP,0.5,77.44,0.6901,0.6293,0.6247,0.6359
credit_default,ADASYN,RF,0.4944,0.96,0.7684,0.6861,0.6761,0.7028
credit_default,ADASYN,LGBM,0.4944,0.19,0.768,0.6928,0.7116,0.6805
credit_default,ADASYN,MLP,0.4944,82.55,0.6788,0.6121,0.608,0.6183
credit_default,G-SMOTE,RF,0.9,5.98,0.7517,0.6792,0.6802,0.6783
credit_default,G-SMOTE,LGBM,0.9,0.44,0.7305,0.6334,0.7257,0.6148
credit_default,G-SMOTE,MLP,0.9,357.7,0.6876,0.6109,0.6066,0.636
credit_default,CTGAN,RF,0.5,0.84,0.7658,0.6767,0.7451,0.6531
credit_default,CTGAN,LGBM,0.5,0.15,0.7798,0.6793,0.7522,0.6547
credit_default,CTGAN,MLP,0.5,85.35,0.7096,0.6428,0.6396,0.6466
credit_default,TVAE,RF,0.5,1.04,0.7645,0.6794,0.7469,0.6555
credit_default,TVAE,LGBM,0.5,0.15,0.782,0.6764,0.7515,0.6519
credit_default,TVAE,MLP,0.5,92.48,0.7002,0.6296,0.6332,0.6265
credit_default,G-CTGAN,RF,0.5,0.93,0.7613,0.6779,0.7444,0.6544
credit_default,G-CTGAN,LGBM,0.5,0.15,0.7804,0.679,0.752,0.6545
credit_default,G-CTGAN,MLP,0.5,75.35,0.7117,0.6504,0.6489,0.6521
fraud_detection,,RF,0.0017,14.76,0.9666,0.8949,0.9092,0.8816
fraud_detection,,LGBM,0.0017,0.61,0.9597,0.8234,0.7625,0.9216
fraud_detection,,MLP,0.0017,142.29,0.952,0.9036,0.957,0.8614
fraud_detection,SMOTE,RF,0.5,34.64,0.9763,0.8321,0.7799,0.9082
fraud_detection,SMOTE,LGBM,0.5,0.97,0.9715,0.7339,0.6615,0.9275
fraud_detection,SMOTE,MLP,0.5,480.92,0.9489,0.8849,0.8849,0.8849
fraud_detection,ADASYN,RF,0.5,32.52,0.9753,0.6166,0.569,0.9211
fraud_detection,ADASYN,LGBM,0.5,1.04,0.97,0.6433,0.5872,0.9255
fraud_detection,ADASYN,MLP,0.5,600.83,0.9369,0.902,0.9246,0.8816
fraud_detection,G-SMOTE,RF,0.8333,110.7,0.9756,0.8713,0.8427,0.9051
fraud_detection,G-SMOTE,LGBM,0.8333,2.2,0.9693,0.7797,0.7096,0.9213
fraud_detection,G-SMOTE,MLP,0.8333,923.24,0.9384,0.8651,0.8474,0.8848
fraud_detection,CTGAN,RF,0.5,34.14,0.962,0.8924,0.8898,0.8951
fraud_detection,CTGAN,LGBM,0.5,0.69,0.9542,0.8854,0.8732,0.8984
fraud_detection,CTGAN,MLP,0.5,95.94,0.9657,0.8964,0.9047,0.8884
fraud_detection,TVAE,RF,0.5,35.87,0.9607,0.8921,0.8741,0.9119
fraud_detection,TVAE,LGBM,0.5,0.68,0.942,0.8697,0.8449,0.8983
fraud_detection,TVAE,MLP,0.5,180.72,0.956,0.8992,0.8965,0.9018
fraud_detection,G-CTGAN,RF,0.5,33.31,0.9529,0.8856,0.8679,0.9052
fraud_detection,G-CTGAN,LGBM,0.5,0.77,0.9309,0.8606,0.8294,0.8983
fraud_detection,G-CTGAN,MLP,0.5,240.49,0.9643,0.8946,0.9447,0.8547
pima_diabetes,,RF,0.3482,0.21,0.8394,0.7057,0.7093,0.703
pima_diabetes,,LGBM,0.3482,0.05,0.8172,0.7148,0.7148,0.7148
