dataset,method,classifier,generation_time,train_time,n_synthetic,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc
credit_default,ctdGAN,RF,737.51,0.61,11710,0.7557,0.5328,0.6746,0.7343,0.6525,0.5863,0.6525
credit_default,ctdGAN,LGBM,737.51,0.15,11710,0.7755,0.5357,0.6782,0.7428,0.655,0.5883,0.655
credit_default,ctdGAN,MLP,737.51,40.01,11710,0.7036,0.3984,0.6258,0.6373,0.6186,0.565,0.6186
fraud_detection,ctdGAN,RF,7663.98,23.9,198676,0.9543,0.4894,0.7341,0.6796,0.8368,0.8211,0.8368
fraud_detection,ctdGAN,LGBM,7663.98,0.78,198676,0.949,0.4035,0.7618,0.7128,0.8404,0.8254,0.8404
fraud_detection,ctdGAN,MLP,7663.98,51.18,198676,0.948,0.8084,0.9012,0.9039,0.8985,0.8928,0.8985
pima_diabetes,ctdGAN,RF,21.96,0.28,163,0.8084,0.6517,0.7038,0.715,0.6978,0.6831,0.6978
pima_diabetes,ctdGAN,LGBM,21.96,0.06,163,0.8045,0.6605,0.688,0.6996,0.6821,0.6651,0.6821
pima_diabetes,ctdGAN,MLP,21.96,0.87,163,0.7742,0.6334,0.7019,0.7094,0.6973,0.6852,0.6973
ibm_attrition,ctdGAN,RF,43.45,0.29,697,0.7639,0.3804,0.5189,0.7014,0.5298,0.2639,0.5298
ibm_attrition,ctdGAN,LGBM,43.45,0.1,697,0.7634,0.4348,0.6366,0.7355,0.6105,0.4953,0.6105
ibm_attrition,ctdGAN,MLP,43.45,0.69,697,0.7596,0.4777,0.6649,0.7019,0.645,0.5747,0.645
yeast_me2,ctdGAN,RF,29.58,0.28,966,0.8933,0.1678,0.4885,0.483,0.4942,0.0,0.4942
yeast_me2,ctdGAN,LGBM,29.58,0.06,966,0.8571,0.188,0.5642,0.576,0.5562,0.3613,0.5562
yeast_me2,ctdGAN,MLP,29.58,1.38,966,0.8111,0.1601,0.6331,0.6199,0.6504,0.5679,0.6504
mammography,ctdGAN,RF,234.71,0.4,7464,0.9394,0.552,0.7592,0.7151,0.8294,0.8157,0.8294
mammography,ctdGAN,LGBM,234.71,0.09,7464,0.9346,0.5951,0.7716,0.748,0.8005,0.7788,0.8005
mammography,ctdGAN,MLP,234.71,14.26,7464,0.9489,0.5949,0.6745,0.6232,0.8575,0.8529,0.8575
abalone_19,ctdGAN,RF,84.54,0.28,2879,0.6175,0.0131,0.4917,0.4959,0.4875,0.0,0.4875
abalone_19,ctdGAN,LGBM,84.54,0.07,2879,0.7582,0.0216,0.4968,0.496,0.4976,0.0,0.4976
abalone_19,ctdGAN,MLP,84.54,2.46,2879,0.6816,0.05,0.5203,0.5176,0.6219,0.5321,0.6219
wine_quality,ctdGAN,RF,102.14,0.32,3172,0.8928,0.3241,0.5075,0.6483,0.5084,0.1347,0.5084
wine_quality,ctdGAN,LGBM,102.14,0.07,3172,0.8804,0.2786,0.6067,0.7696,0.5706,0.3806,0.5706
wine_quality,ctdGAN,MLP,102.14,4.94,3172,0.7863,0.3426,0.7139,0.7198,0.7083,0.654,0.7083
ecoli,ctdGAN,RF,6.73,0.26,187,0.9737,0.8008,0.7967,0.8481,0.7616,0.7303,0.7616
ecoli,ctdGAN,LGBM,6.73,0.04,187,0.9394,0.6151,0.7225,0.7452,0.7051,0.659,0.7051
ecoli,ctdGAN,MLP,6.73,0.54,187,0.8758,0.5736,0.8109,0.7906,0.8359,0.8288,0.8359
pageblocks,ctdGAN,RF,117.85,0.3,3791,0.9969,0.5861,0.7592,0.6994,0.8722,0.8636,0.8722
pageblocks,ctdGAN,LGBM,117.85,0.07,3791,0.9972,0.5888,0.7783,0.7056,0.9344,0.9325,0.9344
pageblocks,ctdGAN,MLP,117.85,1.7,3791,0.9987,0.817,0.8468,0.7667,0.9979,0.9979,0.9979
protein_homo,ctdGAN,RF,5988.0,12.82,100211,0.9533,0.8029,0.8971,0.9928,0.8329,0.8159,0.8329
protein_homo,ctdGAN,LGBM,5988.0,1.02,100211,0.9764,0.8476,0.9129,0.9849,0.8598,0.8483,0.8598
