dataset,method,classifier,generation_time,train_time,n_synthetic,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc
pima_diabetes,CTAB-GAN+,RF,21.65,0.3,163,0.8016,0.6723,0.6952,0.6931,0.6981,0.6948,0.6981
pima_diabetes,CTAB-GAN+,LGBM,21.65,0.05,163,0.797,0.6374,0.6902,0.6907,0.6896,0.6828,0.6896
pima_diabetes,CTAB-GAN+,MLP,21.65,0.88,163,0.7378,0.5686,0.6483,0.6468,0.6506,0.6453,0.6506
yeast_me2,CTAB-GAN+,RF,17.8,0.29,966,0.9186,0.3155,0.4909,0.4831,0.4988,0.0,0.4988
yeast_me2,CTAB-GAN+,LGBM,17.8,0.07,966,0.8939,0.3497,0.6031,0.8187,0.5655,0.3647,0.5655
yeast_me2,CTAB-GAN+,MLP,17.8,0.78,966,0.8937,0.2058,0.6427,0.6198,0.6803,0.6199,0.6803
ibm_attrition,CTAB-GAN+,RF,50.83,0.31,697,0.7656,0.3913,0.5473,0.6759,0.5455,0.332,0.5455
ibm_attrition,CTAB-GAN+,LGBM,50.83,0.1,697,0.7617,0.4458,0.6097,0.7101,0.5894,0.4521,0.5894
ibm_attrition,CTAB-GAN+,MLP,50.83,0.69,697,0.7381,0.4493,0.6784,0.7037,0.662,0.6055,0.662
abalone_19,CTAB-GAN+,RF,71.71,0.32,2879,0.7589,0.0541,0.498,0.496,0.5,0.0,0.5
abalone_19,CTAB-GAN+,LGBM,71.71,0.07,2879,0.6661,0.0249,0.498,0.496,0.5,0.0,0.5
abalone_19,CTAB-GAN+,MLP,71.71,2.0,2879,0.6979,0.0279,0.5327,0.523,0.5855,0.4407,0.5855
wine_quality,CTAB-GAN+,RF,90.35,0.35,3172,0.7445,0.1102,0.5574,0.5463,0.5919,0.4864,0.5919
wine_quality,CTAB-GAN+,LGBM,90.35,0.08,3172,0.7998,0.1376,0.5856,0.5717,0.6109,0.5088,0.6109
wine_quality,CTAB-GAN+,MLP,90.35,6.44,3172,0.8184,0.2027,0.6425,0.6113,0.7158,0.6795,0.7158
thyroid_sick,CTAB-GAN+,RF,202.44,0.31,2316,0.9955,0.9412,0.9161,0.9314,0.902,0.8975,0.902
thyroid_sick,CTAB-GAN+,LGBM,202.44,0.08,2316,0.9978,0.9587,0.9555,0.9386,0.974,0.9739,0.974
thyroid_sick,CTAB-GAN+,MLP,202.44,1.91,2316,0.981,0.8123,0.8793,0.8963,0.8639,0.8549,0.8639
churn,CTAB-GAN+,RF,245.23,0.34,2510,0.9258,0.8791,0.8674,0.9475,0.818,0.7988,0.818
churn,CTAB-GAN+,LGBM,245.23,0.08,2510,0.9273,0.8899,0.9151,0.9559,0.8833,0.8765,0.8833
churn,CTAB-GAN+,MLP,245.23,5.24,2510,0.8904,0.7502,0.7951,0.7763,0.8193,0.8129,0.8193
pageblocks,CTAB-GAN+,RF,107.37,0.35,3791,0.9953,0.3403,0.7071,0.6333,0.9933,0.9932,0.9933
pageblocks,CTAB-GAN+,LGBM,107.37,0.07,3791,0.9962,0.4775,0.7398,0.66,0.9948,0.9948,0.9948
pageblocks,CTAB-GAN+,MLP,107.37,1.84,3791,0.9971,0.5908,0.8062,0.7222,0.9969,0.9969,0.9969
satellite,CTAB-GAN+,RF,349.81,0.38,3625,0.9448,0.6773,0.7835,0.7427,0.8571,0.8549,0.8571
satellite,CTAB-GAN+,LGBM,349.81,0.1,3625,0.946,0.7153,0.8099,0.7888,0.836,0.8282,0.836
satellite,CTAB-GAN+,MLP,349.81,7.95,3625,0.9128,0.6589,0.7729,0.75,0.8032,0.7918,0.8032
secom,CTAB-GAN+,RF,485.4,0.33,950,0.7672,0.1947,0.483,0.4671,0.5,0.0,0.5
secom,CTAB-GAN+,LGBM,485.4,0.52,950,0.8048,0.3074,0.483,0.4671,0.5,0.0,0.5
secom,CTAB-GAN+,MLP,485.4,0.79,950,0.6727,0.1597,0.5282,0.5685,0.5232,0.2517,0.5232
mammography,CTAB-GAN+,RF,212.67,0.37,7464,0.9489,0.6672,0.8035,0.798,0.8092,0.7887,0.8092
mammography,CTAB-GAN+,LGBM,212.67,0.09,7464,0.9493,0.6951,0.8159,0.8288,0.804,0.7816,0.804
mammography,CTAB-GAN+,MLP,212.67,5.07,7464,0.9624,0.7153,0.8141,0.8122,0.8161,0.7971,0.8161
credit_default,CTAB-GAN+,RF,1631.69,0.69,11710,0.7705,0.5486,0.6758,0.7464,0.652,0.5817,0.652
credit_default,CTAB-GAN+,LGBM,1631.69,0.13,11710,0.7799,0.5464,0.6731,0.7476,0.6492,0.5762,0.6492
credit_default,CTAB-GAN+,MLP,1631.69,46.13,11710,0.6821,0.3769,0.6116,0.6352,0.602,0.5278,0.602
