dataset,n_train,n_features,minority_pct,fit_time,gen_time,n_syn_total,n_syn_minority,minority_yield_pct,status
ecoli,235,7,0.1021,17.7,0.0,235,0,0.0,ZERO_MINORITY
pima_diabetes,537,8,0.3482,17.8,0.0,537,220,0.4097,OK
yeast_me2,1038,8,0.0347,17.4,0.1,1038,247,0.238,OK
ibm_attrition,1029,47,0.1613,50.1,0.1,1029,162,0.1574,OK
thyroid_sick,2640,52,0.0614,201.9,0.2,2640,308,0.1167,OK
abalone_19,2923,10,0.0075,72.8,0.2,2923,444,0.1519,OK
wine_quality,3428,11,0.0373,88.9,0.2,3428,342,0.0998,OK
churn,3500,20,0.1414,244.0,0.4,3500,1863,0.5323,OK
pageblocks,3831,10,0.0052,108.0,0.1,3831,80,0.0209,OK
satellite,4501,36,0.0973,348.2,0.2,4501,377,0.0838,OK
secom,1096,474,0.0666,486.3,0.3,1096,232,0.2117,OK
mammography,7828,6,0.0232,217.8,0.5,7828,391,0.0499,OK
credit_default,21000,23,0.2212,1634.1,1.2,21000,2814,0.134,OK
