dataset,method,classifier,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc,generation_time,train_time,method_group
credit_default,None,RF,0.7791,0.5544,0.7023,0.6957,0.7106,0.6972,0.7106,,,non_generative
credit_default,None,LGBM,0.7836,0.56,0.6847,0.759,0.6593,0.5917,0.6593,,,non_generative
credit_default,None,MLP,0.694,0.41,0.6373,0.6474,0.6309,0.5844,0.6309,,,non_generative
credit_default,SMOTE,RF,0.7746,0.5508,0.6984,0.6915,0.7073,0.6939,0.7073,,,non_generative
credit_default,SMOTE,LGBM,0.7731,0.547,0.6991,0.7206,0.6853,0.6486,0.6853,,,non_generative
credit_default,SMOTE,MLP,0.6804,0.394,0.6173,0.6115,0.632,0.6159,0.632,,,non_generative
credit_default,ADASYN,RF,0.771,0.5469,0.6853,0.6745,0.7063,0.6991,0.7063,,,non_generative
credit_default,ADASYN,LGBM,0.7703,0.5439,0.6971,0.7213,0.6823,0.6433,0.6823,,,non_generative
credit_default,ADASYN,MLP,0.676,0.3773,0.6077,0.604,0.6271,0.6136,0.6271,,,non_generative
credit_default,G-SMOTE,RF,0.7673,0.5455,0.6847,0.7546,0.6598,0.5939,0.6598,,,non_generative
credit_default,G-SMOTE,LGBM,0.7835,0.5565,0.6819,0.7589,0.6565,0.5866,0.6565,,,non_generative
credit_default,G-SMOTE,MLP,0.6957,0.3997,0.6293,0.6339,0.629,0.5911,0.629,,,non_generative
fraud_detection,None,RF,0.9801,0.8341,0.918,0.9293,0.9074,0.9025,0.9074,,,non_generative
fraud_detection,None,LGBM,0.8591,0.5147,0.7828,0.7364,0.86,0.8487,0.86,,,non_generative
fraud_detection,None,MLP,0.9605,0.8317,0.9191,0.9466,0.8952,0.889,0.8952,,,non_generative
fraud_detection,SMOTE,RF,0.9844,0.8224,0.8155,0.7508,0.9271,0.9242,0.9271,,,non_generative
fraud_detection,SMOTE,LGBM,0.9797,0.7608,0.715,0.643,0.9391,0.9373,0.9391,,,non_generative
fraud_detection,SMOTE,MLP,0.9611,0.8281,0.8991,0.8878,0.9134,0.9092,0.9134,,,non_generative
fraud_detection,ADASYN,RF,0.9816,0.7676,0.5973,0.5568,0.9339,0.9323,0.9339,,,non_generative
fraud_detection,ADASYN,LGBM,0.9785,0.7503,0.6188,0.5703,0.9403,0.9389,0.9403,,,non_generative
fraud_detection,ADASYN,MLP,0.9606,0.812,0.8861,0.8713,0.9042,0.8988,0.9042,,,non_generative
fraud_detection,G-SMOTE,RF,0.9843,0.8441,0.7224,0.6494,0.9403,0.9385,0.9403,,,non_generative
fraud_detection,G-SMOTE,LGBM,0.9788,0.7363,0.6402,0.5846,0.9403,0.9388,0.9403,,,non_generative
fraud_detection,G-SMOTE,MLP,0.9735,0.8317,0.8502,0.7993,0.9263,0.9234,0.9263,,,non_generative
pima_diabetes,None,RF,0.8296,0.698,0.7475,0.7458,0.7518,0.7497,0.7518,,,non_generative
pima_diabetes,None,LGBM,0.8052,0.6646,0.7084,0.7149,0.7048,0.6939,0.7048,,,non_generative
pima_diabetes,None,MLP,0.7667,0.609,0.6901,0.6926,0.6881,0.6791,0.6881,,,non_generative
pima_diabetes,SMOTE,RF,0.8225,0.6797,0.7415,0.7387,0.7525,0.7517,0.7525,,,non_generative
pima_diabetes,SMOTE,LGBM,0.807,0.6589,0.7283,0.7258,0.7333,0.7311,0.7333,,,non_generative
pima_diabetes,SMOTE,MLP,0.7516,0.6027,0.6857,0.6854,0.6872,0.6817,0.6872,,,non_generative
pima_diabetes,ADASYN,RF,0.8199,0.6802,0.7434,0.7413,0.7601,0.7592,0.7601,,,non_generative
pima_diabetes,ADASYN,LGBM,0.8017,0.6573,0.714,0.7124,0.7206,0.7178,0.7206,,,non_generative
pima_diabetes,ADASYN,MLP,0.7475,0.598,0.6757,0.6756,0.6768,0.6709,0.6768,,,non_generative
pima_diabetes,G-SMOTE,RF,0.8271,0.7054,0.7454,0.7441,0.7588,0.7573,0.7588,,,non_generative
pima_diabetes,G-SMOTE,LGBM,0.8043,0.6666,0.7213,0.7189,0.7249,0.7218,0.7249,,,non_generative
pima_diabetes,G-SMOTE,MLP,0.7554,0.6104,0.6708,0.6685,0.6788,0.6776,0.6788,,,non_generative
ibm_attrition,None,RF,0.8026,0.5493,0.6561,0.766,0.6259,0.5228,0.6259,,,non_generative
ibm_attrition,None,LGBM,0.8063,0.5631,0.6698,0.7867,0.6373,0.5361,0.6373,,,non_generative
ibm_attrition,None,MLP,0.7652,0.5107,0.6879,0.7239,0.6691,0.6111,0.6691,,,non_generative
ibm_attrition,SMOTE,RF,0.8151,0.5816,0.6991,0.7956,0.6638,0.5882,0.6638,,,non_generative
ibm_attrition,SMOTE,LGBM,0.7978,0.5579,0.6872,0.7658,0.6578,0.58,0.6578,,,non_generative
ibm_attrition,SMOTE,MLP,0.7551,0.4949,0.6715,0.6906,0.6593,0.6028,0.6593,,,non_generative
ibm_attrition,ADASYN,RF,0.8139,0.5783,0.6837,0.7791,0.6503,0.5674,0.6503,,,non_generative
ibm_attrition,ADASYN,LGBM,0.8027,0.5634,0.6921,0.7689,0.6631,0.5899,0.6631,,,non_generative
ibm_attrition,ADASYN,MLP,0.7602,0.5006,0.6816,0.7,0.6694,0.6196,0.6694,,,non_generative
ibm_attrition,G-SMOTE,RF,0.8039,0.5481,0.5517,0.85,0.5502,0.3211,0.5502,,,non_generative
ibm_attrition,G-SMOTE,LGBM,0.8098,0.5615,0.6601,0.7647,0.6302,0.5296,0.6302,,,non_generative
ibm_attrition,G-SMOTE,MLP,0.7621,0.4958,0.6822,0.6799,0.6848,0.6521,0.6848,,,non_generative
yeast_me2,None,RF,0.9343,0.4459,0.7157,0.7438,0.6987,0.6346,0.6987,,,non_generative
yeast_me2,None,LGBM,0.9325,0.3978,0.6438,0.8019,0.6034,0.4544,0.6034,,,non_generative
yeast_me2,None,MLP,0.8742,0.4248,0.6635,0.6843,0.656,0.5469,0.656,,,non_generative
yeast_me2,SMOTE,RF,0.927,0.4597,0.6826,0.6455,0.7612,0.735,0.7612,,,non_generative
yeast_me2,SMOTE,LGBM,0.9371,0.4457,0.6908,0.6698,0.7303,0.6844,0.7303,,,non_generative
yeast_me2,SMOTE,MLP,0.8727,0.4363,0.6974,0.682,0.7209,0.6707,0.7209,,,non_generative
yeast_me2,ADASYN,RF,0.9262,0.4273,0.6777,0.6397,0.7607,0.7347,0.7607,,,non_generative
yeast_me2,ADASYN,LGBM,0.9321,0.4067,0.6893,0.6597,0.7377,0.6974,0.7377,,,non_generative
yeast_me2,ADASYN,MLP,0.8655,0.3863,0.6968,0.6785,0.7209,0.6707,0.7209,,,non_generative
yeast_me2,G-SMOTE,RF,0.9409,0.4643,0.5987,0.76,0.5656,0.3199,0.5656,,,non_generative
yeast_me2,G-SMOTE,LGBM,0.9447,0.454,0.6596,0.7566,0.6215,0.4871,0.6215,,,non_generative
yeast_me2,G-SMOTE,MLP,0.902,0.4119,0.6871,0.6975,0.692,0.6205,0.692,,,non_generative
mammography,None,RF,0.9419,0.7137,0.8347,0.8443,0.8291,0.8121,0.8291,,,non_generative
mammography,None,LGBM,0.9413,0.7571,0.8418,0.9058,0.7984,0.7722,0.7984,,,non_generative
mammography,None,MLP,0.957,0.7724,0.8434,0.8818,0.8131,0.7915,0.8131,,,non_generative
mammography,SMOTE,RF,0.9463,0.7119,0.7884,0.7324,0.8873,0.8823,0.8873,,,non_generative
mammography,SMOTE,LGBM,0.9303,0.7464,0.7996,0.7462,0.8902,0.8852,0.8902,,,non_generative
mammography,SMOTE,MLP,0.9131,0.6886,0.7622,0.706,0.8717,0.8647,0.8717,,,non_generative
mammography,ADASYN,RF,0.9404,0.6458,0.7537,0.6949,0.8761,0.8704,0.8761,,,non_generative
mammography,ADASYN,LGBM,0.9292,0.6863,0.7637,0.7028,0.8916,0.8879,0.8916,,,non_generative
mammography,ADASYN,MLP,0.9107,0.661,0.7523,0.6935,0.8829,0.8776,0.8829,,,non_generative
mammography,G-SMOTE,RF,0.9309,0.6893,0.7558,0.6999,0.8691,0.8625,0.8691,,,non_generative
mammography,G-SMOTE,LGBM,0.9237,0.6964,0.7905,0.7486,0.8548,0.8448,0.8548,,,non_generative
mammography,G-SMOTE,MLP,0.9333,0.6857,0.7433,0.6792,0.9052,0.9032,0.9052,,,non_generative
abalone_19,None,RF,0.7697,0.0337,0.4978,0.4962,0.4994,0.0,0.4994,,,non_generative
abalone_19,None,LGBM,0.7271,0.0741,0.5231,0.5963,0.5142,0.0756,0.5142,,,non_generative
abalone_19,None,MLP,0.7762,0.0306,0.4968,0.4962,0.4975,0.0,0.4975,,,non_generative
abalone_19,SMOTE,RF,0.7782,0.0432,0.5053,0.5102,0.5929,0.4237,0.5929,,,non_generative
abalone_19,SMOTE,LGBM,0.7812,0.0738,0.5246,0.5183,0.5511,0.311,0.5511,,,non_generative
abalone_19,SMOTE,MLP,0.778,0.031,0.5078,0.5087,0.5075,0.0813,0.5075,,,non_generative
abalone_19,ADASYN,RF,0.7848,0.0357,0.5045,0.5099,0.5923,0.4231,0.5923,,,non_generative
abalone_19,ADASYN,LGBM,0.7364,0.0669,0.5176,0.5136,0.5365,0.2364,0.5365,,,non_generative
abalone_19,ADASYN,MLP,0.7712,0.0256,0.4937,0.4961,0.4913,0.0,0.4913,,,non_generative
abalone_19,G-SMOTE,RF,0.7744,0.0289,0.4981,0.4962,0.5,0.0,0.5,,,non_generative
abalone_19,G-SMOTE,LGBM,0.6957,0.0775,0.523,0.5963,0.514,0.0756,0.514,,,non_generative
abalone_19,G-SMOTE,MLP,0.7761,0.0237,0.4982,0.5024,0.5107,0.1542,0.5107,,,non_generative
wine_quality,None,RF,0.8667,0.3681,0.655,0.7594,0.6161,0.4846,0.6161,,,non_generative
wine_quality,None,LGBM,0.87,0.393,0.6433,0.8261,0.5966,0.4413,0.5966,,,non_generative
wine_quality,None,MLP,0.7762,0.2937,0.6748,0.7275,0.6465,0.5438,0.6465,,,non_generative
wine_quality,SMOTE,RF,0.8563,0.2914,0.6437,0.6113,0.7324,0.7018,0.7324,,,non_generative
wine_quality,SMOTE,LGBM,0.8544,0.2928,0.662,0.635,0.7126,0.6678,0.7126,,,non_generative
wine_quality,SMOTE,MLP,0.7649,0.2964,0.6674,0.6608,0.6795,0.606,0.6795,,,non_generative
wine_quality,ADASYN,RF,0.8517,0.2855,0.6343,0.6033,0.7289,0.7004,0.7289,,,non_generative
wine_quality,ADASYN,LGBM,0.853,0.3024,0.6576,0.6284,0.7159,0.674,0.7159,,,non_generative
wine_quality,ADASYN,MLP,0.7795,0.2835,0.6634,0.658,0.6739,0.6002,0.6739,,,non_generative
wine_quality,G-SMOTE,RF,0.8654,0.346,0.6258,0.595,0.7842,0.7744,0.7842,,,non_generative
wine_quality,G-SMOTE,LGBM,0.8508,0.2755,0.6507,0.6209,0.7119,0.6664,0.7119,,,non_generative
wine_quality,G-SMOTE,MLP,0.7971,0.232,0.6309,0.6026,0.7081,0.6669,0.7081,,,non_generative
ecoli,None,RF,0.9276,0.6573,0.7716,0.7555,0.797,0.7816,0.797,,,non_generative
ecoli,None,LGBM,0.9525,0.7368,0.7528,0.8441,0.7438,0.6771,0.7438,,,non_generative
ecoli,None,MLP,0.9201,0.6157,0.6909,0.7592,0.6784,0.6054,0.6784,,,non_generative
ecoli,SMOTE,RF,0.9368,0.6848,0.7661,0.7448,0.8063,0.7918,0.8063,,,non_generative
ecoli,SMOTE,LGBM,0.9559,0.7719,0.8079,0.7997,0.8322,0.8156,0.8322,,,non_generative
ecoli,SMOTE,MLP,0.9129,0.5859,0.7281,0.7515,0.7305,0.6846,0.7305,,,non_generative
ecoli,ADASYN,RF,0.9411,0.6855,0.7764,0.7496,0.8316,0.8207,0.8316,,,non_generative
ecoli,ADASYN,LGBM,0.9535,0.6957,0.8221,0.8068,0.8591,0.8459,0.8591,,,non_generative
ecoli,ADASYN,MLP,0.911,0.6105,0.7272,0.7409,0.7305,0.6852,0.7305,,,non_generative
ecoli,G-SMOTE,RF,0.9501,0.738,0.759,0.8102,0.7514,0.71,0.7514,,,non_generative
ecoli,G-SMOTE,LGBM,0.9483,0.6625,0.7289,0.7252,0.7388,0.6201,0.7388,,,non_generative
ecoli,G-SMOTE,MLP,0.9126,0.4924,0.7412,0.7336,0.7651,0.7413,0.7651,,,non_generative
pageblocks,None,RF,0.9994,0.9033,0.8772,0.8673,0.8992,0.8866,0.8992,,,non_generative
pageblocks,None,LGBM,0.9943,0.8239,0.911,0.922,0.9129,0.9069,0.9129,,,non_generative
pageblocks,None,MLP,0.999,0.8928,0.8821,0.8795,0.8927,0.8809,0.8927,,,non_generative
pageblocks,SMOTE,RF,0.9993,0.8861,0.8806,0.8475,0.9323,0.9275,0.9323,,,non_generative
pageblocks,SMOTE,LGBM,0.9661,0.8562,0.8631,0.8465,0.8991,0.8864,0.8991,,,non_generative
pageblocks,SMOTE,MLP,0.9983,0.8665,0.9032,0.872,0.9458,0.9433,0.9458,,,non_generative
pageblocks,ADASYN,RF,0.9993,0.8669,0.9076,0.8892,0.9293,0.926,0.9293,,,non_generative
pageblocks,ADASYN,LGBM,0.9662,0.7803,0.8841,0.8806,0.896,0.8849,0.896,,,non_generative
pageblocks,ADASYN,MLP,0.9903,0.8741,0.9077,0.8665,0.9657,0.9643,0.9657,,,non_generative
pageblocks,G-SMOTE,RF,0.9994,0.8673,0.8116,0.7295,0.9969,0.9969,0.9969,,,non_generative
pageblocks,G-SMOTE,LGBM,0.9985,0.7469,0.8497,0.7721,0.9978,0.9978,0.9978,,,non_generative
pageblocks,G-SMOTE,MLP,0.9995,0.8946,0.8905,0.825,0.9985,0.9985,0.9985,,,non_generative
protein_homo,None,RF,0.9923,0.8819,0.9157,0.923,0.9087,0.9042,0.9087,,,non_generative
protein_homo,None,LGBM,0.9935,0.8956,0.9231,0.9737,0.8825,0.8747,0.8825,,,non_generative
protein_homo,None,MLP,0.9916,0.893,0.9265,0.9462,0.9092,0.9048,0.9092,,,non_generative
protein_homo,SMOTE,RF,0.9926,0.8849,0.8461,0.7864,0.9388,0.9371,0.9388,,,non_generative
protein_homo,SMOTE,LGBM,0.9933,0.8784,0.7981,0.7245,0.9495,0.9486,0.9495,,,non_generative
protein_homo,SMOTE,MLP,0.9907,0.8841,0.9164,0.9222,0.911,0.9067,0.911,,,non_generative
protein_homo,ADASYN,RF,0.9913,0.8093,0.7204,0.649,0.9505,0.95,0.9505,,,non_generative
protein_homo,ADASYN,LGBM,0.9928,0.8498,0.7219,0.6498,0.9555,0.9552,0.9555,,,non_generative
protein_homo,ADASYN,MLP,0.991,0.8821,0.9126,0.9093,0.917,0.9134,0.917,,,non_generative
protein_homo,G-SMOTE,RF,0.9732,0.8113,0.8583,0.8323,0.8894,0.8829,0.8894,,,non_generative
protein_homo,G-SMOTE,LGBM,0.9825,0.8217,0.8666,0.8438,0.8934,0.8874,0.8934,,,non_generative
protein_homo,G-SMOTE,MLP,0.9921,0.8947,0.9286,0.9414,0.917,0.9132,0.917,,,non_generative
satellite,None,RF,0.9533,0.7327,0.7876,0.7518,0.8458,0.8415,0.8458,,,non_generative
satellite,None,LGBM,0.9623,0.7842,0.8252,0.8718,0.7918,0.7684,0.7918,,,non_generative
satellite,None,MLP,0.9658,0.8032,0.8478,0.8661,0.8331,0.8205,0.8331,,,non_generative
satellite,SMOTE,RF,0.9569,0.7341,0.7941,0.7568,0.8556,0.8524,0.8556,,,non_generative
satellite,SMOTE,LGBM,0.9634,0.7723,0.8215,0.8031,0.845,0.8374,0.845,,,non_generative
satellite,SMOTE,MLP,0.9649,0.7788,0.8344,0.8408,0.8285,0.8161,0.8285,,,non_generative
satellite,ADASYN,RF,0.9499,0.6771,0.7569,0.7129,0.8674,0.867,0.8674,,,non_generative
satellite,ADASYN,LGBM,0.9604,0.7494,0.8199,0.7927,0.8561,0.8511,0.8561,,,non_generative
satellite,ADASYN,MLP,0.9645,0.771,0.8322,0.8306,0.8349,0.8245,0.8349,,,non_generative
satellite,G-SMOTE,RF,0.9539,0.7372,0.7737,0.7292,0.8697,0.869,0.8697,,,non_generative
satellite,G-SMOTE,LGBM,0.9549,0.7353,0.8015,0.7837,0.8236,0.8137,0.8236,,,non_generative
satellite,G-SMOTE,MLP,0.9575,0.7179,0.814,0.8007,0.831,0.8216,0.831,,,non_generative
churn,None,RF,0.9181,0.8658,0.9037,0.9249,0.8855,0.88,0.8855,,,non_generative
churn,None,LGBM,0.9236,0.8815,0.9099,0.948,0.8802,0.873,0.8802,,,non_generative
churn,None,MLP,0.903,0.8015,0.8535,0.8824,0.8308,0.8181,0.8308,,,non_generative
churn,SMOTE,RF,0.9185,0.8457,0.888,0.891,0.8853,0.8811,0.8853,,,non_generative
churn,SMOTE,LGBM,0.9169,0.869,0.8992,0.9075,0.8918,0.8876,0.8918,,,non_generative
churn,SMOTE,MLP,0.8923,0.7619,0.8228,0.8335,0.8147,0.8019,0.8147,,,non_generative
churn,ADASYN,RF,0.9135,0.8354,0.8822,0.8771,0.8877,0.8844,0.8877,,,non_generative
churn,ADASYN,LGBM,0.9182,0.8674,0.8982,0.907,0.8903,0.8861,0.8903,,,non_generative
churn,ADASYN,MLP,0.8934,0.7583,0.8199,0.8286,0.8132,0.8003,0.8132,,,non_generative
churn,G-SMOTE,RF,0.9154,0.8646,0.8857,0.9388,0.8482,0.8358,0.8482,,,non_generative
churn,G-SMOTE,LGBM,0.9218,0.8778,0.9089,0.9478,0.8788,0.8713,0.8788,,,non_generative
churn,G-SMOTE,MLP,0.8996,0.7935,0.8475,0.8582,0.8388,0.8291,0.8388,,,non_generative
secom,None,RF,0.7265,0.2014,0.4828,0.4669,0.5,0.0,0.5,,,non_generative
secom,None,LGBM,0.7479,0.2173,0.4826,0.4668,0.4997,0.0,0.4997,,,non_generative
secom,None,MLP,0.6711,0.1709,0.5394,0.6017,0.5312,0.2673,0.5312,,,non_generative
secom,SMOTE,RF,0.7161,0.1723,0.5336,0.6101,0.528,0.2287,0.528,,,non_generative
secom,SMOTE,LGBM,0.7067,0.1693,0.5232,0.7297,0.52,0.2184,0.52,,,non_generative
secom,SMOTE,MLP,0.6604,0.1611,0.5365,0.5651,0.53,0.284,0.53,,,non_generative
secom,ADASYN,RF,0.7222,0.1689,0.525,0.5847,0.5222,0.2106,0.5222,,,non_generative
secom,ADASYN,LGBM,0.6898,0.1506,0.5015,0.519,0.5063,0.1308,0.5063,,,non_generative
secom,ADASYN,MLP,0.6585,0.157,0.5359,0.5605,0.5297,0.2839,0.5297,,,non_generative
secom,G-SMOTE,RF,0.6987,0.1484,0.4826,0.4668,0.4997,0.0,0.4997,,,non_generative
