dataset,GMM Clustering,CTGAN Training,Candidate Generation,Stage 1 (Quality Filter),Stage 2 (MMD Selection),Classifier Training,Total
credit_default,5.25,68.99,2.03,0.43,23.9,14.48,115.08
fraud_detection,0.26,38.68,1.94,0.29,0.0,14.92,56.09
pima_diabetes,0.3,12.99,0.06,0.01,0.03,0.38,13.77
ibm_attrition,0.14,50.07,0.82,0.06,0.07,0.35,51.52
yeast_me2,0.11,4.98,0.04,0.01,0.04,0.4,5.58
mammography,0.29,22.68,0.87,0.04,0.0,2.58,26.47
abalone_19,0.08,14.5,0.98,0.01,0.0,0.73,16.31
wine_quality,0.21,7.72,0.09,0.1,0.41,1.84,10.36
ecoli,0.13,5.77,0.03,0.0,0.01,0.27,6.21
pageblocks,0.09,15.46,0.15,0.01,0.0,0.71,16.42
protein_homo,0.83,52.74,6.1,0.96,0.0,10.25,70.88
satellite,0.56,19.05,0.25,0.07,2.21,2.05,24.18
churn,0.6,27.32,0.93,0.12,0.32,1.67,30.97
secom,4.91,141.05,3.02,0.46,1.57,0.54,151.55
thyroid_sick,0.24,8.04,0.19,0.03,0.38,0.88,9.77
unsw_nb15,1.14,195.05,17.28,3.86,0.01,41.19,258.53
