dataset,weight_mode,AUC,time_sec
credit_default,full,0.7656,184.08
credit_default,density,0.7631,554.47
credit_default,sep,0.7626,537.47
credit_default,lof,0.7641,533.98
fraud_detection,full,0.965,384.59
fraud_detection,density,0.9584,390.19
fraud_detection,sep,0.9684,381.15
fraud_detection,lof,0.9684,388.65
pima_diabetes,full,0.8326,95.51
pima_diabetes,density,0.8361,94.06
pima_diabetes,sep,0.8359,94.5
pima_diabetes,lof,0.8363,97.56
ibm_attrition,full,0.772,530.94
ibm_attrition,density,0.7683,553.23
ibm_attrition,sep,0.759,541.02
ibm_attrition,lof,0.7774,552.32
yeast_me2,full,0.927,50.2
yeast_me2,density,0.9159,50.18
yeast_me2,sep,0.9299,50.08
yeast_me2,lof,0.9179,47.03
mammography,full,0.9473,193.05
mammography,density,0.9475,196.66
mammography,sep,0.9505,195.47
mammography,lof,0.9518,196.72
abalone_19,full,0.7711,143.57
abalone_19,density,0.8128,142.17
abalone_19,sep,0.808,137.42
abalone_19,lof,0.8137,137.38
wine_quality,full,0.8335,63.28
wine_quality,density,0.836,62.84
wine_quality,sep,0.8647,66.49
wine_quality,lof,0.8388,60.47
ecoli,full,0.9687,44.67
ecoli,density,0.9828,45.72
ecoli,sep,0.9717,45.87
ecoli,lof,0.9848,45.72
pageblocks,full,0.999,138.91
pageblocks,density,0.9994,140.61
pageblocks,sep,0.9995,143.48
pageblocks,lof,0.9987,141.99
protein_homo,full,0.979,347.11
protein_homo,density,0.9826,353.27
protein_homo,sep,0.9843,345.85
protein_homo,lof,0.9859,361.22
satellite,full,0.9423,154.02
satellite,density,0.948,154.43
satellite,sep,0.9454,154.78
satellite,lof,0.948,155.23
churn,full,0.919,276.19
churn,density,0.9189,279.55
churn,sep,0.9265,274.89
churn,lof,0.9273,277.65
secom,full,0.7414,1592.64
secom,density,0.787,1593.74
secom,sep,0.7685,1587.21
secom,lof,0.7632,1588.45
thyroid_sick,full,0.9943,101.57
thyroid_sick,density,0.9953,104.44
thyroid_sick,sep,0.9948,103.04
thyroid_sick,lof,0.9936,103.61
unsw_nb15,full,0.9066,2296.8
unsw_nb15,density,0.9052,2314.75
unsw_nb15,sep,0.9064,2296.62
unsw_nb15,lof,0.9057,2262.45
