cluster,log_likelihood,ll_norm,alpha_c,n_candidate,n_after_filter,rejection_rate,dataset
0,2.393453845795401,0.9999999991991968,0.10000000016016064,310,279,0.1,pima_diabetes
1,-10.094008975969498,0.0,0.3,200,140,0.3,pima_diabetes
2,-9.834510757903628,0.020780699935760625,0.29584386001284785,295,208,0.2949,pima_diabetes
3,-9.084537751875814,0.08083877707534376,0.2838322445849312,130,93,0.2846,pima_diabetes
0,-1.8775923880511023,0.22876485229790886,0.2542470295404182,900,671,0.2544,mammography
1,-2.616753427274486,0.18989251704987653,0.2620214965900247,1300,959,0.2623,mammography
2,-4.190298180058975,0.10714010463608416,0.27857197907278314,550,397,0.2782,mammography
3,-0.9990609973736589,0.27496664721423003,0.24500667055715397,2900,2189,0.2452,mammography
4,9.731813238723982,0.8393012355852997,0.13213975288294008,200,173,0.135,mammography
5,12.787515052367219,0.9999999994741019,0.10000000010517962,950,855,0.1,mammography
6,-0.6574936718601053,0.2929296064106279,0.2414140787178744,1500,1138,0.2413,mammography
7,-2.735173907376845,0.1836648070401493,0.26326703859197015,400,294,0.265,mammography
8,-6.227577149279605,0.0,0.3,400,280,0.3,mammography
0,1073.664119250783,0.9928686995316046,0.10142626009367908,400,359,0.1025,unsw_nb15
1,55.66697812782809,0.0,0.3,43450,30415,0.3,unsw_nb15
2,1052.422738515405,0.9721516452148055,0.10556967095703892,400,357,0.1075,unsw_nb15
3,1078.0945025911456,0.9971897224184861,0.10056205551630279,200,179,0.105,unsw_nb15
4,1080.3514666989563,0.9993909751804926,0.1001218049639015,250,225,0.1,unsw_nb15
5,1080.9759052732566,0.9999999999902469,0.10000000000195061,200,180,0.1,unsw_nb15
6,932.9213367750143,0.8556000395714898,0.12887999208570206,16200,14112,0.1289,unsw_nb15
