dataset,alpha_mode,mmd_before,mmd_after,improved
credit_default,Q-G-CTGAN_a0.1,0.010686,0.015233,False
credit_default,Q-G-CTGAN_a0.2,0.014358,0.009989,True
credit_default,Q-G-CTGAN_a0.3,0.013495,0.009583,True
credit_default,Q-G-CTGAN_adaptive,0.010556,0.010839,False
fraud_detection,Q-G-CTGAN_a0.1,0.060696,0.062649,False
fraud_detection,Q-G-CTGAN_a0.2,0.070628,0.072868,False
fraud_detection,Q-G-CTGAN_a0.3,0.049392,0.053211,False
fraud_detection,Q-G-CTGAN_adaptive,0.059673,0.052237,True
pima_diabetes,Q-G-CTGAN_a0.1,0.02579,0.019235,True
pima_diabetes,Q-G-CTGAN_a0.2,0.035002,0.029022,True
pima_diabetes,Q-G-CTGAN_a0.3,0.02307,0.022315,True
pima_diabetes,Q-G-CTGAN_adaptive,0.048482,0.02182,True
ibm_attrition,Q-G-CTGAN_a0.1,0.019356,0.018876,True
ibm_attrition,Q-G-CTGAN_a0.2,0.025153,0.024292,True
ibm_attrition,Q-G-CTGAN_a0.3,0.021838,0.020374,True
ibm_attrition,Q-G-CTGAN_adaptive,0.019597,0.018501,True
yeast_me2,Q-G-CTGAN_a0.1,0.14741,0.156032,False
yeast_me2,Q-G-CTGAN_a0.2,0.147292,0.161757,False
yeast_me2,Q-G-CTGAN_a0.3,0.044081,0.038069,True
yeast_me2,Q-G-CTGAN_adaptive,0.135636,0.164159,False
mammography,Q-G-CTGAN_a0.1,0.015866,0.015677,True
mammography,Q-G-CTGAN_a0.2,0.011914,0.009828,True
mammography,Q-G-CTGAN_a0.3,0.017386,0.012616,True
mammography,Q-G-CTGAN_adaptive,0.002302,0.002879,False
abalone_19,Q-G-CTGAN_a0.1,0.011504,0.012045,False
abalone_19,Q-G-CTGAN_a0.2,0.010469,0.01113,False
abalone_19,Q-G-CTGAN_a0.3,0.006247,0.005041,True
abalone_19,Q-G-CTGAN_adaptive,0.006683,0.006961,False
wine_quality,Q-G-CTGAN_a0.1,0.080964,0.087838,False
wine_quality,Q-G-CTGAN_a0.2,0.115567,0.135425,False
wine_quality,Q-G-CTGAN_a0.3,0.093302,0.117459,False
wine_quality,Q-G-CTGAN_adaptive,0.089733,0.102843,False
ecoli,Q-G-CTGAN_a0.1,0.043914,0.046553,False
ecoli,Q-G-CTGAN_a0.2,0.039227,0.036967,True
ecoli,Q-G-CTGAN_a0.3,0.138253,0.118484,True
ecoli,Q-G-CTGAN_adaptive,0.027441,0.03506,False
pageblocks,Q-G-CTGAN_a0.1,0.004767,0.005378,False
pageblocks,Q-G-CTGAN_a0.2,0.007768,0.009617,False
pageblocks,Q-G-CTGAN_a0.3,0.009185,0.008709,True
pageblocks,Q-G-CTGAN_adaptive,0.010103,0.005595,True
protein_homo,Q-G-CTGAN_a0.1,0.094536,0.091215,True
protein_homo,Q-G-CTGAN_a0.2,0.088992,0.086702,True
protein_homo,Q-G-CTGAN_a0.3,0.10488,0.102206,True
protein_homo,Q-G-CTGAN_adaptive,0.085424,0.078795,True
