dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,G-CTGAN,Q-G-CTGAN_adaptive
credit_default,0.7733,0.7684,0.7517,0.7658,0.7645,0.7613,0.7648
fraud_detection,0.9763,0.9753,0.9756,0.962,0.9607,0.9529,0.978
pima_diabetes,0.8426,0.8442,0.8355,0.8014,0.8384,0.8177,0.8323
ibm_attrition,0.7797,0.7888,0.7888,0.7729,0.7694,0.7772,0.7748
yeast_me2,0.9027,0.8919,0.9058,0.9131,0.9202,0.9177,0.9278
mammography,0.97,0.9648,0.9689,0.9514,0.9623,0.9476,0.9659
abalone_19,0.8096,0.8259,0.8412,0.7755,0.7916,0.802,0.8243
wine_quality,0.8467,0.8404,0.8549,0.8414,0.8041,0.8014,0.8929
ecoli,0.9566,0.9545,0.9566,0.9737,0.9747,0.9808,0.9758
pageblocks,0.9971,0.9976,0.9972,0.9942,0.9966,0.9994,0.9992
protein_homo,0.9951,0.9937,0.9952,0.9808,0.9805,0.9774,0.9937
